part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;3;0.6;16;mae;604886.5811008798
1;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;3;0.9;16;mae;604282.9957703276
1;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;5;0.6;16;mae;610520.659753843
1;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;5;0.9;16;mae;588075.990739027
1;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;7;0.6;16;mae;586050.4915209725
1;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;7;0.9;16;mae;601333.9445754703
2;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;3;0.6;16;mae;616151.0172856762
2;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;3;0.9;16;mae;615401.7422794118
2;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;5;0.6;16;mae;616926.8234143043
2;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;5;0.9;16;mae;607319.4327849385
2;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;7;0.6;16;mae;611002.7611081596
2;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;7;0.9;16;mae;600558.5509921148
3;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;3;0.6;16;mae;595582.5852977827
3;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;3;0.9;16;mae;599865.1003040442
3;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;5;0.6;16;mae;582184.475923426
3;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;5;0.9;16;mae;592544.3120717227
3;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;7;0.6;16;mae;584204.7940847599
3;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;7;0.9;16;mae;574224.2299597886
